"file","soil_series"
"AZ-2011-05-27-28.tif","Gunsught"
"AZ-2011-05-27-28.tif","Mohall"
"AZ-2011-05-27-28.tif","Momoli"
"AZ-2011-05-27-28.tif","Morana"
"AZ-2011-05-27-28.tif","Pinamt"
"AZ-2011-05-27-28.tif","Sasco"
"AZ-2011-05-27-29.tif","Casa Grande"
"AZ-2011-05-27-29.tif","Denure"
"AZ-2011-05-27-29.tif","Gachado"
"AZ-2011-05-27-29.tif","Glenbar"
"AZ-2011-05-27-29.tif","Gunsight"
"AZ-2011-05-27-29.tif","Hickiwan"
"AZ-2011-05-27-29.tif","Mohall"
"AZ-2011-05-27-29.tif","Pinamt"
"AZ-2011-05-27-29.tif","Quilotosa"
"AZ-2011-05-27-29.tif","Sasco"
"AZ-2011-05-27-29.tif","Talai"
"AZ-2011-05-27-29.tif","Trix"
"AZ-2011-05-27-29.tif","Tucson"
"AZ-2011-05-27-29.tif","Vecont"
"AZ-2011-05-27-30.tif","Bucklebar"
"AZ-2011-05-27-30.tif","Caralampi"
"AZ-2011-05-27-30.tif","Cellar"
"AZ-2011-05-27-30.tif","Hayhook"
"AZ-2011-05-27-30.tif","Keysto"
"AZ-2011-05-27-30.tif","Kimrose"
"AZ-2011-05-27-30.tif","Lampshire"
"AZ-2011-05-27-30.tif","Pantak"
"AZ-2011-05-27-30.tif","Selevin"
"AZ-2011-05-27-30.tif","Soledad"
"AZ-2011-05-27-30.tif","Topawa"
"AZ-2011-05-27-30.tif","Tubac"
"AZ-2011-05-27-31.tif","Delthorny"
"AZ-2011-05-27-31.tif","Denure"
"AZ-2011-05-27-31.tif","Garzona"
"AZ-2011-05-27-31.tif","Mohall"
"AZ-2011-05-27-31.tif","Nahda"
"AZ-2011-05-27-31.tif","Pahaka"
"AZ-2011-05-27-31.tif","Stagecoach"
"AZ-2011-05-27-31.tif","Trix"
"AZ-2012-05-09-01.tif","Cherioni"
"AZ-2012-05-09-01.tif","Chuckawalla"
"AZ-2012-05-09-01.tif","Gadsden"
"AZ-2012-05-09-01.tif","Glenbar"
"AZ-2012-05-09-01.tif","Gunsight"
"AZ-2012-05-09-01.tif","Lagunita"
"AZ-2012-05-09-01.tif","Laposa"
"AZ-2012-05-09-01.tif","Rositas"
"AZ-2012-05-09-01.tif","Superstition"
"AZ-2012-05-09-01.tif","Vint"
"CA-2010-08-30-01.tif","Bidart"
"CA-2010-08-30-01.tif","Callat"
"CA-2010-08-30-01.tif","Cagwin"
"CA-2010-08-30-01.tif","Dagget"
"CA-2010-08-30-01.tif","Hawkinspeak"
"CA-2010-08-30-01.tif","Lithnip"
"CA-2010-08-30-01.tif","Meiss"
"CA-2010-08-30-01.tif","Rockbound"
"CA-2010-08-30-01.tif","Sky"
